DTCR I5_OHLC_NE_USD Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE_USD FTSE100_OHLC_NE_USD BVSP_OHLC_NE_USD BSESN_OHLC_NE_USD Nickel_OHLC_NE Nickel_OHLC_NE_USD VIX_OHLC_NE
26.05.2003 801.091825678803 366.93 26.5505 8725.023 189.169430399246 6606.403823375 4533.12757521432 66.3497365944937 8711 70.1641756862213 19.818
02.06.2003 801.548309498573 364.82 27.851 8980.784 189.004692555461 6749.60873965 4506.1325902976 68.7289797265993 9361 72.5858910181861 20.878
09.06.2003 794.631774917297 357.27 28.196 9096.512 187.34197937539 6874.264819 4633.78615620189 71.1044581354555 9145 75.2851744247694 20.814
16.06.2003 842.400466004081 360.22 26.7935 9256.487 187.474114829877 6988.250139975 4576.22572813138 73.3503578144728 8660 76.5077454198877 19.786
23.06.2003 843.947645759863 349.045 27.1045 9073.9275 182.341037686556 6780.47498685 4394.88682492337 75.3675941994724 8442 76.0309290974193 20.14
30.06.2003 869.016054529551 349.91 28.1995 9055.371 180.666166516259 6671.17911975 4523.85849027083 78.0197926901212 8391 79.0487256151152 19.358
07.07.2003 852.946398853169 345.605 28.185 9144.308 182.687910870509 6646.931365275 4640.72249023711 78.6902694412034 8680 83.5236581292232 19.226
14.07.2003 796.677117637408 344.58 28.9165 9127.2585 184.419792582856 6542.984477875 4661.52488958162 80.0894813119012 8821 81.9399643511874 19.646
21.07.2003 800.129570293177 355.505 28.305 9157.9195 180.712110604156 6568.4948322 4757.46923061702 78.3039160475644 8859 80.5939441875728 18.788
28.07.2003 804.710540419978 358.075 28.4145 9230.196 178.211360112211 6699.59906525 4667.82393216251 81.9085841259095 9283 81.0221859937624 19.224
04.08.2003 795.736289894275 351.115 30.098 9114.0375 179.628977474193 6609.9098016 4427.13020485246 82.6563783772035 9207 78.1203501641916 21.06
11.08.2003 841.998546676329 362.145 29.6975 9267.1305 177.23371211 6734.06940895 4612.9360155478 85.225771927358 9160 81.3841708901721 18.64
18.08.2003 882.768242048304 362.06 29.4295 9404.15 174.442893906992 6732.2070184 4844.6200963442 88.3046349515602 9610 86.1601921461527 18.05
25.08.2003 868.093786024477 368.06 30.108 9339.486 171.895270853948 6612.474459875 5014.26662718779 90.8660504177845 9514 87.720643495599 19.052
01.09.2003 892.400495432932 374.15 28.4675 9502.623 174.366677218019 6655.9212396 5238.13446592265 94.0599068793684 9798 91.5248770312379 18.794
08.09.2003 881.735724894322 378.71 27.383 9490.8865 171.841579397565 6778.617169425 5400.75695973625 96.522204445923 9818 91.8290174715435 19.01
15.09.2003 912.207246726958 376.155 26.0825 9558.4295 168.66824123517 6889.0022367 5571.9965591433 92.1175166539021 9924 93.9526241452366 18.114
22.09.2003 927.489816869051 385.57 26.384 9470.599 167.223359219829 6978.4068715 5499.205078766 93.1867623134288 10255 93.6061329916194 20.6835
29.09.2003 984.154054838974 382.25 28.246 9413.636 164.881382429908 6936.8942247 5594.6327837417 97.3486068341592 10332 93.6850404336941 21.4705
06.10.2003 1103.76529159237 373.955 29.737 9639.3955 165.773996501165 7134.0265256 6039.33298824384 102.912757398854 10762 97.3305734716451 19.309
13.10.2003 1160.36282180273 373.71 31.0835 9771.613 167.373572495252 7256.9731491 6224.17282860985 106.82284012004 11128 99.8338792015077 17.494
20.10.2003 1126.59059731667 381.855 29.6425 9666.575 166.34676957502 7246.055375 6307.69249285726 105.293674274988 11223 98.668807222207 17.5715
27.10.2003 1014.14953152401 386.01 28.531 9727.669 164.432245452261 7252.8265786 6268.16522137787 105.081257022518 11459 97.5318804299809 17.0635
03.11.2003 1064.49955627053 380.92 28.08 9836.9935 165.157525027849 7248.8448704 6514.22777532006 111.619491787354 11991 97.1319250190722 16.7295
10.11.2003 1044.62021058995 391.3 28.907 9790.613 160.549964358637 7309.84987195 6595.70283641493 110.079592264962 12174 95.1568008249283 17.2635
17.11.2003 986.467303121853 395.005 29.615 9667.6265 162.19444860599 7367.144981625 6683.29401611279 106.716741848969 12098 90.2363822801806 18.8665
24.11.2003 1045.30993962429 394 28.416 9753.88 169.010387721274 7457.8938378 6994.81088108172 107.120827473951 12100 91.7335834553441 16.8875
01.12.2003 1084.5083545499 402.575 28.986 9878.822 173.812495318363 7554.774432 6962.21718440709 113.682361093143 12583 95.3484984425396 16.5815
08.12.2003 1121.27253204911 407.725 29.9155 9957.117 175.923849680744 7577.2933533 7205.68750915689 115.16348642047 13196 93.6034643651372 17.1505
15.12.2003 1143.28140780099 409.635 30.651 10145.332 176.409565278325 7674.7622944 7265.04014368454 119.476950988207 14509 95.1835165294437 16.2225
22.12.2003 1161.16482697305 411.695 29.5455 10319.9925 181.219198952266 7846.1079978 7470.39286451922 123.162591641383 15574 96.3343559281794 16.8205
29.12.2003 1155.09802082741 415.858333333333 29.9191666666667 10420.7291666667 181.724948953496 7935.29887180556 7598.44593211176 127.515596565189 16616.6666666667 98.8918805412973 17.6725
01.01.2004 1153.07544840557 416.675 30.175 10442.81375 181.471099942007 8014.4597890625 7797.24212362144 129.602083333333 16670 99.2764275973004 18.05875
05.01.2004 1225.65479510305 423.285 31.1905 10523.7955 190.717691845806 8178.171148925 8253.09098556291 132.701169109172 16456 101.899654645836 16.5985
12.01.2004 1214.1151533413 419.445 31.81 10507.4785 193.253974966171 8177.91682475 8375.30705698997 134.469878854626 14866 101.875632526299 16.59
19.01.2004 1236.45886876567 409.86 31.8265 10586.644 193.35870484475 8179.1218485 8318.88485232655 129.04372087488 14859 103.368163582486 14.9875
26.01.2004 1261.35738086883 406.425 30.3375 10561.674 194.015418592682 8085.3185432 8447.99240157204 128.776845420924 14897 102.483679455259 16.0745
02.02.2004 1229.83939055358 400.35 29.456 10500.5675 200.59670080873 8042.2725681 7452.39617901613 126.328372555519 15187 100.129614205126 17.4085
09.02.2004 1241.37050635578 409.535 30.062 10639.6695 203.162916794025 8264.23804365 7744.95293407191 131.17763117877 15458 98.9789744537481 15.837
16.02.2004 1288.3484869553 411.205 31.4255 10674.3735 206.016764447194 8425.744304925 7509.31911157344 132.147709687403 15534 100.286435888047 15.631
23.02.2004 1314.97118686869 398.15 32.151 10591.194 201.95130143143 8437.082823775 7309.57895177469 125.569008682388 14431 99.0706221695556 15.4605
01.03.2004 1370.79576928461 395.835 33.905 10605.8935 202.196545549883 8358.762490825 7613.4225250945 128.140082472951 14125 103.061657321211 14.591
08.03.2004 1383.94697628805 400.88 33.6335 10370.8045 201.242377104886 8224.7107446 7508.58208973416 128.025405510609 13126 102.45963456719 17.462
15.03.2004 1418.49315754409 405.2 34.3435 10222.57 209.391785608142 8046.4002239 7422.91790700936 121.961560666152 13415 104.959860375897 19.2855
22.03.2004 1472.19040412726 417.54 33.9915 10121.3455 210.457044928868 7952.28100485 7271.98124940776 120.853285764328 14108 107.13259172998 19.697
29.03.2004 1531.34808728599 423.035 32.3815 10361.7105 210.180320045427 8076.4457256 7529.95272747685 128.3012298592 14114 112.004649233234 16.457
05.04.2004 1590.05045569265 420.1 32.4855 10503.6475 213.469777332093 8206.872504275 7743.37385806927 133.742443631093 14063 113.641878780421 15.6365
12.04.2004 1544.69579197539 407.695 33.7255 10423.525 205.653906840868 8146.4461839 7562.53142302181 133.793246919507 13222 111.813575672842 15.945
19.04.2004 1443.4480474111 396.78 33.286 10397.7845 200.853872175909 8132.1589293 7174.73851511056 133.399706558086 12540 109.660568153638 15.395
26.04.2004 1389.29809851484 391.905 34.3215 10384.328 194.365719021724 8083.458275375 6956.91659497917 130.1999049634 11344 109.627756640115 15.7825
03.05.2004 1355.63858872291 389.275 36.464 10270.5395 192.773602560827 8089.0022572 6627.46068275624 127.189848728569 11131 106.455789181642 16.853
10.05.2004 1305.90027603081 377.28 37.9175 10010.708 190.97490609872 7840.448916925 6172.7016361976 118.850833374822 10684 96.6540110954562 18.8945
17.05.2004 1358.59904178811 380.04 38.534 9956.6275 187.506379750536 7855.0178546 6222.58644895918 107.156392410992 10873 95.1896816094891 19.024
24.05.2004 1365.72249172185 389.605 37.8235 10096.0085 186.071766643933 8043.571638825 6437.1620756588 111.367780584945 11812 99.7104862813881 16.518
31.05.2004 1276.58182106206 392.35 37.339 10218.406 188.172909520801 8145.3256795 6341.20032693023 106.833267143235 12313 101.503987486682 16.2605
07.06.2004 1288.37486450635 389.325 35.3715 10380.4115 180.15772813493 8238.890913 6440.89934139576 109.701723984715 12345 104.49752301682 15.3475
14.06.2004 1274.33061270919 387.54 35.12 10375.603 175.588493455546 8172.1135496 6437.3727524517 105.612233198095 13441 104.705301642013 15.1785
21.06.2004 1359.98816581918 397.74 34.979 10414.24 173.060398727532 8198.9218992 6588.43525105576 102.924170719473 14950 107.375985896318 14.818
28.06.2004 1294.0824995694 397.1 33.877 10375.201 170.327051426417 8146.1676118 6709.23235148989 105.33468778596 14951 109.268985501896 15.2465
05.07.2004 1298.73239073002 400.7 36.4945 10237.719 174.156069528261 8084.316059675 6784.437546621 106.812866295615 15775 105.026391089677 15.881
12.07.2004 1352.01721435286 405.395 37.6885 10208.5475 170.538870645432 8102.99475875 6919.56435184119 107.056669192566 15217 105.405312700891 14.591
19.07.2004 1360.31419798297 399.635 39.226 10076.7985 173.560722121807 8029.053726 7010.64352956953 108.591519672149 14878 103.532911786522 15.5465
26.07.2004 1301.30956252579 389.125 40.7195 10066.738 168.11627822683 7947.230542875 7009.32654494428 110.286328479454 14240 100.467778753292 16.434
02.08.2004 1305.19602187966 393.265 42.4285 10067.9145 167.324154837135 8050.235906025 7203.00128273804 112.308122372547 13787 99.8599956763768 16.801
09.08.2004 1297.70417745549 398.83 43.6685 9861.91 167.190533665341 7924.046682825 7015.87059417489 112.041616486739 13529 98.5679217722957 18.591
16.08.2004 1312.14968439789 405.8 44.9145 10000.9985 163.454299751776 7967.386232 7300.49873122476 109.941999104025 14081 98.1510258324079 17.061
23.08.2004 1320.34442671779 407.68 42.508 10138.678 161.163530086223 7960.335126075 7453.51322202061 109.928264298524 13494 100.837558223267 15.3765
30.08.2004 1370.3007427936 407.255 40.836 10194.0145 160.429677636054 8056.7622839 7558.21255031734 112.171876265503 12768 101.539435039586 14.953
06.09.2004 1402.41094736842 400.66 40.903 10301.6415 157.914500690193 8120.562939525 7591.65556806162 114.188480261061 12291 102.1308919606 14.0965
13.09.2004 1434.48840145136 404.655 41.7785 10283.937 160.709776492777 8166.46119555 7586.25205100294 118.499324986391 12800 101.902047562458 13.959
20.09.2004 1468.49944398795 407.76 44.998 10149.0775 174.708729476951 8230.6566422 7796.80360319091 121.588304961713 13918 100.168625637119 14.676
27.09.2004 1488.39366561687 413.3 47.024 10077.258 171.638982391448 8271.3115777 7895.19349214706 120.581332317405 14930 97.9097182444287 13.806
04.10.2004 1569.71636164459 418.41 47.736 10176.3725 168.926210662017 8381.244729375 8392.11576289754 125.621062395984 16101 101.827783737009 13.8775
11.10.2004 1563.90927949735 419.25 50.6665 10011.115 166.461031390189 8353.144224 8241.9351087535 124.861810444824 14625 102.014628357562 15.233
