DTCR I5_OHLC_NE Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE FTSE100_OHLC_NE BVSP_OHLC_NE BSESN_OHLC_NE Nickel_OHLC_NE NIKKEI225_OHLC_NE VIX_OHLC_NE
15.07.2002 22499.72044 318.54 26.267 8462.856 1698.433 4126.815 10711.25 3246.5095 7508 10354.7795 36.084
22.07.2002 20263.21048 313.785 25.5395 7992.6435 1675.9165 3900.055 9808.9 3130.466 6827 10011.152 40.286
29.07.2002 19648.32412 303.415 25.635 8566.9645 1658.587 4149.61 9569.35 2994.572 6653 9813.445 34.704
05.08.2002 19152.53456 309.88 25.4895 8405.0315 1661.1845 4125.51 9915.2 2997.166 6673 9751.107 39.5
12.08.2002 19795.16692 313.885 26.6335 8682.7885 1639.098 4261.025 9498.55 3024.8535 6723 9756.347 32.694
19.08.2002 21010.73012 307.195 27.553 8928.772 1668.9835 4396.325 9499.55 3086.5235 6753 9708.9345 28.7
26.08.2002 20583.24576 311.37 27.242 8767.5375 1673.9325 4329.24 10266.85 3116.5585 6796 9806.344 31.926
02.09.2002 20031.0064 315.835 27.455 8445.8515 1659.6005 4077.505 10057.3 3173.8385 6655 9247.0325 37.048
09.09.2002 20754.9 319.075 28.3305 8484.6375 1622.7295 4112.16 10037.3 3111.9335 6905 9326.838 35.932
16.09.2002 19771.38492 319.535 28.25 8167.8125 1606.4105 3948.02 9653.05 3065.713 6625 9472.1485 38.38
23.09.2002 19845.6274 322.67 29.137 7841.7015 1594.9345 3769.495 9209 3016.388 6429 9373.8495 37.82
30.09.2002 19715.53848 321.61 28.8425 7721.4235 1581.62 3831.2 8913.8 2965.007 6573 9147.2685 37.482
07.10.2002 20075.47792 320.22 28.1785 7492.5405 1553.1485 3779.905 8891.55 2966.773 6533 8607.1215 39.808
14.10.2002 20410.72236 314.76 28.5335 8102.0845 1525.07 4067.895 8636.35 3006.3335 6710 8843.4035 34.738
21.10.2002 20634.39424 312.575 26.84 8416.444 1535.546 4092.8 9546.85 2951.2935 7006 8770.02 32.886
28.10.2002 20766.52532 317.22 25.551 8401.523 1507.8855 4018.83 9887.95 2898.9015 7239 8698.6445 31.002
04.11.2002 20811.59848 319.34 24.25 8631.0215 1545.0705 4098.905 9881.45 2978.3795 7346 8834.216 30.406
11.11.2002 20802.33468 320.875 23.32 8448.7005 1485.95 4044.405 9807.5 2972.3665 7231 8455.2135 29.688
18.11.2002 21152.34848 318.94 24.216 8627.943 1430.662 4128.295 10092.75 3083.883 7310 8508.4495 25.472
25.11.2002 20834.98296 317.905 24.8915 8824.6215 1395.47 4139.08 10266.05 3193.892 7392 8970.112 26.408
02.12.2002 20225.2238 321.26 25.8535 8740.907 1412.597 4080.39 10577.15 3244.062 7379 9061.1515 28.738
09.12.2002 19512.53596 327.83 26.8275 8537.0815 1389.0775 3945.78 10502.4 3306.09 7165 8753.1845 28.554
16.12.2002 19345.48976 341.075 29.3155 8490.396 1412.238 3891.585 10973.35 3334.676 7055 8428.3465 27.622
23.12.2002 19529.11636 346.75 31.262 8453.783 1413.747 3923.47 11432.35 3358.4315 7241 8536.129 27.22
30.12.2002 19759.9494 346.225 31.09 8318.535 1365.7675 3889.95 11260 3379.94625 7150 8589.4875 29.12
01.01.2003 19781.37 346.491666666667 30.7733333333333 8466.56333333333 1336.77916666667 3965.76666666667 11454.8333333333 3378.21416666667 7260 8589.4875 26.23
06.01.2003 19838.47896 352.11 30.67 8713.917 1358.381 3955.355 11910.95 3359.3835 7698 8591.1275 24.828
13.01.2003 20068.04176 354.075 31.505 8745.1815 1447.222 3914.075 12033.85 3351.986 7981 8561.1075 25.138
20.01.2003 19399.7152 360.565 31.789 8421.3795 1464.703 3711.925 11320.3 3342.505 8424 8665.4535 28.268
27.01.2003 19179.12904 368.61 31.183 8041.679 1497.7545 3517.2 10709.9 3245.5055 8293 8450.4225 32.074
03.02.2003 19113.54472 373.765 31.3605 8003.164 1499.82 3626.58 10658.45 3277.7575 8366 8479.711 32.836
10.02.2003 19898.67212 359.75 32.6795 7826.8345 1498.36 3619.355 10370.8 3255.0325 8516 8561.815 33.664
17.02.2003 20041.36896 350.515 32.9605 7948.175 1501.0525 3687.945 10254.75 3293.321 8638 8688.278 31.29
24.02.2003 20133.2746 352.435 33.3835 7877.7475 1502.816 3633.92 10177.35 3291.4965 8986 8408.483 31.164
03.03.2003 21170.802 352.57 34.1675 7757.138 1512.6965 3599.055 10357.9 3230.2885 8856 8398.6885 31.018
10.03.2003 20667.782 346.285 33.782 7654.0755 1471.094 3442.205 10557.55 3124.3465 8464 7964.905 32.634
17.03.2003 19497.44612 335.395 28.109 8205.868 1466.498 3749.37 11044.7 3129.95 8228 8054.1725 30.566
24.03.2003 19241.4314 329.86 26.6735 8242.177 1475.701 3758.02 11217 3139.652 8070 8330.1875 28.616
31.03.2003 18975.55976 330.56 26.814 8162.0615 1514.4595 3718.41 11707.75 3106.234 7864 8039.58 28.574
07.04.2003 19617.658 324.265 24.9855 8271.7585 1536.5285 3861.11 11864.2 3126.3585 7859 8058.92 26.546
14.04.2003 21398.13824 326.185 25.2285 8309.93 1612.395 3869.815 12070 3001.6315 8072 7845.019 22.298
21.04.2003 24549.38352 333.165 25.001 8410.3025 1544.2405 3908.15 12280.45 2966.636 7924 7841.5095 20.916
28.04.2003 24385.70276 337.335 23.5685 8465.699 1518.8345 3917.51 12561.8 2946.5335 7989 7749.1645 21.006
05.05.2003 23289.07 344.635 24.176 8554.0615 1521.44 3961.165 12895.55 2975.1285 8136 8036.2515 20.772
12.05.2003 23773.282 352.07 26 8678.2255 1525.409 3997.745 13295.95 2985.1645 8201 8190.7175 19.414
19.05.2003 24088.78168 366.97 26.9015 8543.9815 1545.7775 3968.765 12951.6 3053.644 8366 8063.1205 20.392
26.05.2003 24576.69612 366.93 26.5505 8725.023 1565.727 4026.515 13240.9 3120.312 8711 8271.795 19.818
02.06.2003 24577.47504 364.82 27.851 8980.784 1564.3805 4114.135 13560.5 3226.5335 9361 8613.187 20.878
09.06.2003 24260.90272 357.27 28.196 9096.512 1550.6305 4140.425 13884.85 3323.849 9145 8875.181 20.814
16.06.2003 25597.18056 360.22 26.7935 9256.487 1551.712 4165.785 13647.25 3418.8125 8660 9030.783 19.786
23.06.2003 25606.21552 349.045 27.1045 9073.9275 1509.3015 4074.67 13087.05 3506.873 8442 9003.2785 20.14
30.06.2003 26327.27588 349.91 28.1995 9055.371 1495.466 4014.49 13165.8 3617.0405 8391 9398.933 19.358
07.07.2003 25882.232 345.605 28.185 9144.308 1512.18 4053.835 13456.45 3645.2205 8680 9851.699 19.226
14.07.2003 24278.73516 344.58 28.9165 9127.2585 1526.45 4088.075 13574.9 3694.2835 8821 9676.823 19.646
21.07.2003 24262.32896 355.505 28.305 9157.9195 1495.7695 4094.51 13785.2 3615.2135 8859 9578.147 18.788
28.07.2003 24353.35744 358.075 28.4145 9230.196 1475.108 4141.55 13557.15 3774.667 9283 9716.0185 19.224
04.08.2003 24122.34776 351.115 30.098 9114.0375 1486.86 4102.68 13105.95 3802.772 9207 9361.1225 21.06
11.08.2003 25561.39188 362.145 29.6975 9267.1305 1466.9785 4198.795 13675.6 3909.907 9160 9682.8445 18.64
18.08.2003 26754.93988 362.06 29.4295 9404.15 1443.8115 4242.845 14338.8 4042.9085 9610 10205.804 18.05
25.08.2003 26386.57872 368.06 30.108 9339.486 1422.772 4203.935 14884 4164.4865 9514 10294.807 19.052
01.09.2003 27307.00896 374.15 28.4675 9502.623 1443.2295 4226.76 15538.35 4313.07 9798 10662.0075 18.794
08.09.2003 27012.4148 378.71 27.383 9490.8865 1422.3465 4259.785 16039.6 4410.225 9818 10737.8425 19.01
15.09.2003 27939.99576 376.155 26.0825 9558.4295 1396.1345 4284.685 16544.65 4221.755 9924 10909.215 18.114
22.09.2003 28260.61472 385.57 26.384 9470.599 1384.1345 4217.35 16243.75 4267.348 10255 10482.436 20.6835
29.09.2003 30024.079828 382.25 28.246 9413.636 1364.7265 4167.955 16436.5 4452.662 10332 10403.349 21.4705
06.10.2003 33424.22056 373.955 29.737 9639.3955 1372.118 4283.26 17534.5 4660.1315 10762 10691.6175 19.309
13.10.2003 34944.90656 373.71 31.0835 9771.613 1385.2975 4347.81 17971.8 4855.269 11128 10912.442 17.494
20.10.2003 33713.78692 381.855 29.6425 9666.575 1376.789 4302.5 18098.05 4770.63 11223 10809.2665 17.5715
27.10.2003 30361.1016 386.01 28.531 9727.669 1360.9465 4273.105 17991.85 4760.2545 11459 10597.424 17.0635
03.11.2003 31762.53776 380.92 28.08 9836.9935 1366.9725 4324.88 18481.3 5055.9165 11991 10695.002 16.7295
10.11.2003 31101.99984 391.3 28.907 9790.613 1328.856 4363.855 18672 4983.7985 12174 10335.5035 17.2635
17.11.2003 29386.86096 395.005 29.615 9667.6265 1342.4575 4336.995 18930.45 4860.398 12098 9812.0335 18.8665
24.11.2003 31077.58716 394 28.416 9753.88 1398.9125 4370.12 19773.25 4909.46 12100 10024.646 16.8875
01.12.2003 32160.553 402.575 28.986 9878.822 1438.6495 4380.9 20488.55 5184.4045 12583 10361.569 16.5815
08.12.2003 33061.84188 407.725 29.9155 9957.117 1456.1305 4352.59 21084.55 5238.0845 13196 10080.7655 17.1505
